cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
SEROPEDICA-ECOLOGIA AGRICOLA,Operante,-22.757777770000000000000000000000,-43.684722210000000000000000000000,-43.684722210000000000000000000000,A601,RJ
RIO DE JANEIRO-MARAMBAIA,Operante,-23.050277770000000000000000000000,-43.595555550000000000000000000000,-43.595555550000000000000000000000,A602,RJ
DUQUE DE CAXIAS - XEREM,Operante,-22.589722210000000000000000000000,-43.282222210000000000000000000000,-43.282222210000000000000000000000,A603,RJ
CAMBUCI,Operante,-21.587499990000000000000000000000,-41.958333330000000000000000000000,-41.958333330000000000000000000000,A604,RJ
ARRAIAL DO CABO,Operante,-22.975277770000000000000000000000,-42.021388880000000000000000000000,-42.021388880000000000000000000000,A606,RJ
CAMPOS DOS GOYTACAZES,Pane,-21.714722220000000000000000000000,-41.343888880000000000000000000000,-41.343888880000000000000000000000,A607,RJ
MACAE,Operante,-22.376111100000000000000000000000,-41.811944440000000000000000000000,-41.811944440000000000000000000000,A608,RJ
RESENDE,Operante,-22.451388880000000000000000000000,-44.444999990000000000000000000000,-44.444999990000000000000000000000,A609,RJ
PICO DO COUTO,Operante,-22.464722220000000000000000000000,-43.291388880000000000000000000000,-43.291388880000000000000000000000,A610,RJ
VALENCA,Operante,-22.358055550000000000000000000000,-43.695555550000000000000000000000,-43.695555550000000000000000000000,A611,RJ
VITORIA,Operante,-20.270833320000000000000000000000,-40.305833330000000000000000000000,-40.305833330000000000000000000000,A612,ES
SANTA TERESA,Pane,-19.988333330000000000000000000000,-40.579444430000000000000000000000,-40.579444430000000000000000000000,A613,ES
LINHARES,Operante,-19.356944440000000000000000000000,-40.068611100000000000000000000000,-40.068611100000000000000000000000,A614,ES
ALFREDO CHAVES,Pane,-20.636388880000000000000000000000,-40.741944440000000000000000000000,-40.741944440000000000000000000000,A615,ES
SAO MATEUS,Operante,-18.676111100000000000000000000000,-39.864166660000000000000000000000,-39.864166660000000000000000000000,A616,ES
ALEGRE,Operante,-20.750555550000000000000000000000,-41.488888880000000000000000000000,-41.488888880000000000000000000000,A617,ES
TERESOPOLIS-PARQUE NACIONAL,Operante,-22.448611100000000000000000000000,-42.986944440000000000000000000000,-42.986944440000000000000000000000,A618,RJ
PARATY,Operante,-23.223611100000000000000000000000,-44.726944430000000000000000000000,-44.726944430000000000000000000000,A619,RJ
CAMPOS DOS GOYTACAZES - SAO TOME,Operante,-22.041666660000000000000000000000,-41.051666660000000000000000000000,-41.051666660000000000000000000000,A620,RJ
RIO DE JANEIRO - VILA MILITAR,Operante,-22.861388880000000000000000000000,-43.411388880000000000000000000000,-43.411388880000000000000000000000,A621,RJ
PRESIDENTE KENNEDY,Operante,-21.100833330000000000000000000000,-41.039444440000000000000000000000,-41.039444440000000000000000000000,A622,ES
NOVA FRIBURGO - SALINAS,Operante,-22.334722210000000000000000000000,-42.676944430000000000000000000000,-42.676944430000000000000000000000,A624,RJ
TRES RIOS,Operante,-22.098333330000000000000000000000,-43.208333330000000000000000000000,-43.208333330000000000000000000000,A625,RJ
RIO CLARO,Operante,-22.653579000000000000000000000000,-44.040916000000000000000000000000,-44.040916000000000000000000000000,A626,RJ
NITEROI,Operante,-22.867499990000000000000000000000,-43.101944440000000000000000000000,-43.101944440000000000000000000000,A627,RJ
ANGRA DOS REIS,Operante,-22.975555540000000000000000000000,-44.303333330000000000000000000000,-44.303333330000000000000000000000,A628,RJ
CARMO,Operante,-21.938611100000000000000000000000,-42.600833330000000000000000000000,-42.600833330000000000000000000000,A629,RJ
SANTA MARIA MADALENA,Operante,-21.950555550000000000000000000000,-42.010277770000000000000000000000,-42.010277770000000000000000000000,A630,RJ
ECOPORANGA,Operante,-18.291388880000000000000000000000,-40.736388880000000000000000000000,-40.736388880000000000000000000000,A631,ES
MARILANDIA,Operante,-19.407222220000000000000000000000,-40.539722210000000000000000000000,-40.539722210000000000000000000000,A632,ES
VENDA NOVA DO IMIGRANTE,Operante,-20.385555550000000000000000000000,-41.189999990000000000000000000000,-41.189999990000000000000000000000,A633,ES
VILA VELHA,Operante,-20.466944430000000000000000000000,-40.403888880000000000000000000000,-40.403888880000000000000000000000,A634,ES
RIO DE JANEIRO - JACAREPAGUA,Operante,-22.939999990000000000000000000000,-43.402777770000000000000000000000,-43.402777770000000000000000000000,A636,RJ
Paty do Alferes - Avelar,Operante,-22.347222210000000000000000000000,-43.417777770000000000000000000000,-43.417777770000000000000000000000,A637,RJ
RIO DE JANEIRO - FORTE DE COPACABANA,Operante,-22.988333330000000000000000000000,-43.190555550000000000000000000000,-43.190555550000000000000000000000,A652,RJ
AFONSO CLAUDIO,Pane,-20.104166660000000000000000000000,-41.106944440000000000000000000000,-41.106944440000000000000000000000,A657,ES
SILVA JARDIM,Operante,-22.645833330000000000000000000000,-42.415555550000000000000000000000,-42.415555550000000000000000000000,A659,RJ
SAQUAREMA - SAMPAIO CORREIA,Operante,-22.871111100000000000000000000000,-42.608888880000000000000000000000,-42.608888880000000000000000000000,A667,RJ
SAO PAULO - MIRANTE,Operante,-23.496388880000000000000000000000,-46.619999990000000000000000000000,-46.619999990000000000000000000000,A701,SP
CAMPO GRANDE,Operante,-20.447195000000000000000000000000,-54.722615000000000000000000000000,-54.722615000000000000000000000000,A702,MS
PONTA PORA,Operante,-22.552500000000000000000000000000,-55.716388880000000000000000000000,-55.716388880000000000000000000000,A703,MS
TRES LAGOAS,Operante,-20.794999990000000000000000000000,-51.713333330000000000000000000000,-51.713333330000000000000000000000,A704,MS
BAURU,Operante,-22.358052000000000000000000000000,-49.028877000000000000000000000000,-49.028877000000000000000000000000,A705,SP
CAMPOS DO JORDAO,Operante,-22.750277770000000000000000000000,-45.603888880000000000000000000000,-45.603888880000000000000000000000,A706,SP
